Erro ao logar com o login ::1 na data 06/01/16 06:25:15
Erro ao logar com o login ::1 na data 06/01/16 06:25:27
Erro ao logar com o login ::1 na data às 06/01/16 06:52:32
Erro ao logar com o login ::1 na data às 06/01/16 06:53:26
Erro ao logar com o login ::1 na data às 06/01/16 06:54:01
Erro ao logar com o login ::1 na data às 06/01/16 06:55:35
Erro ao logar com o login ::1 na data às 06/01/16 06:56:22
Erro ao logar com o login ::1 na data às 06/01/16 06:56:26
Erro ao logar com o login ::1 na data às 06/01/16 06:59:38
Erro ao logar com o login ::1 na data às 06/01/16 06:59:44
Erro ao logar com o login ::1 na data às 06/01/16 07:04:13
Erro ao logar com o login ::1 na data às 06/01/16 07:04:19
Erro ao logar com o login ::1 na data às 06/01/16 07:16:36
Erro ao logar com o login ::1 na data às 06/01/16 07:17:00
Erro ao logar com o login ::1 na data às 06/01/16 07:19:00
Erro ao logar com o login ::1 na data às 06/01/16 07:19:04
Erro ao logar com o login ::1 na data às 06/01/16 07:19:26
Erro ao logar com o login ::1 na data às 06/01/16 10:54:52
Erro ao logar com o login ::1 na data às 06/01/16 10:54:53
Erro ao logar com o login ::1 na data às 06/01/16 10:55:18
Erro ao logar com o login ::1 na data às 07/01/16 02:07:12
Erro ao logar com o login ::1 na data às 07/01/16 02:10:18
Erro ao logar com o login ::1 na data às 07/01/16 03:25:34
Erro ao logar com o login ::1 na data às 07/01/16 03:33:22
Erro ao logar com o login ::1 na data às 07/01/16 03:34:20
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:56:11
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:56:33
Erro ao logar com o login ::1 na data às 07/01/16 04:21:20
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 02:12:40
Erro ao logar com o login ::1 na data às 07/01/16 02:49:40
Erro ao logar com o login ::1 na data às 07/01/16 02:52:24
Erro ao logar com o login ::1 na data às 07/01/16 03:05:20
Erro ao logar com o login ::1 na data às 07/01/16 03:06:31
Erro ao logar com o login ::1 na data às 07/01/16 03:07:30
Erro ao logar com o login ::1 na data às 07/01/16 03:07:36
Erro ao logar com o login ::1 na data às 07/01/16 03:08:12
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:08:34
Erro ao logar com o login ::1 na data às 07/01/16 03:11:58
Erro ao logar com o login ::1 na data às 07/01/16 03:13:02
Erro ao logar com o login ::1 na data às 07/01/16 03:13:18
Erro ao logar com o login ::1 na data às 07/01/16 03:13:28
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:13:53
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:16:58
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:18:07
Erro ao logar com o login 127.0.0.1 na data às 07/01/16 03:18:53
Erro ao logar com o login ::1 na data às 07/01/16 03:18:58
Erro ao logar com o login ::1 na data às 07/01/16 03:24:58
Erro ao logar com o login ::1 na data às 07/01/16 04:55:35
Erro ao logar com o login ::1 na data às 07/01/16 04:57:29
Erro ao logar com o login ::1 na data às 07/01/16 04:58:40
Erro ao logar com o login ::1 na data às 07/01/16 05:00:41
Erro ao logar com o login ::1 na data às 07/01/16 05:13:15
Erro ao logar com o login ::1 na data às 07/01/16 05:14:10
Erro ao logar com o login ::1 na data às 07/01/16 05:15:45
Erro ao logar com o login ::1 na data às 07/01/16 05:16:05
Erro ao logar com o login ::1 na data às 07/01/16 05:17:52
Erro ao logar com o login ::1 na data às 07/01/16 05:18:40
Erro ao logar com o login ::1 na data às 07/01/16 05:23:35
Erro ao logar com o login ::1 na data às 07/01/16 05:24:15
Erro ao logar com o login ::1 na data às 07/01/16 05:24:29
Erro ao logar com o login ::1 na data às 07/01/16 05:26:22
Erro ao logar com o login ::1 na data às 07/01/16 05:26:40
Erro ao logar com o login ::1 na data às 07/01/16 05:27:02
Erro ao logar com o login ::1 na data às 07/01/16 05:30:05
Erro ao logar com o login ::1 na data às 07/01/16 05:40:14
Erro ao logar com o login ::1 na data às 07/01/16 11:18:50
Erro ao logar com o login ::1 na data às 07/01/16 11:39:05
Erro ao logar com o login ::1 na data às 07/01/16 11:40:54
Erro ao logar com o login ::1 na data às 07/01/16 11:41:24
Erro ao logar com o login ::1 na data às 07/01/16 11:46:04
Erro ao logar com o login ::1 na data às 07/01/16 11:47:23
Erro ao logar com o login ::1 na data às 07/01/16 11:47:30
Erro ao logar com o login ::1 na data às 07/01/16 11:48:46
Erro ao logar com o login ::1 na data às 07/01/16 11:48:53
Erro ao logar com o login ::1 na data às 07/01/16 11:51:32
Erro ao logar com o login ::1 na data às 07/01/16 11:51:44
Erro ao logar com o login ::1 na data às 08/01/16 01:25:56
Erro ao logar com o login ::1 na data às 08/01/16 02:14:05
Erro ao logar com o login ::1 na data às 08/01/16 03:41:31
Erro ao logar com o login ::1 na data às 08/01/16 03:50:15
Erro ao logar com o login ::1 na data às 08/01/16 04:00:08
Erro ao logar com o login ::1 na data às 08/01/16 07:17:12
Erro ao logar com o login ::1 na data às 08/01/16 07:18:15
Erro ao logar com o login ::1 na data às 09/01/16 02:12:39
Erro ao logar com o login ::1 na data às 09/01/16 04:31:56
Erro ao logar com o login ::1 na data às 09/01/16 04:35:31
Erro ao logar com o login 127.0.0.1 na data às 09/01/16 04:36:59
Erro ao logar com o login ::1 na data às 09/01/16 04:40:04
Erro ao logar com o login ::1 na data às 10/01/16 02:25:35
Erro ao logar com o login ::1 na data às 10/01/16 03:55:24
Erro ao logar com o login 127.0.0.1 na data às 10/01/16 07:15:28
Erro ao logar com o login ::1 na data às 11/01/16 02:28:20
Erro ao logar com o login ::1 na data às 12/01/16 04:08:46
Erro ao logar com o login ::1 na data às 12/01/16 01:41:30
Erro ao logar com o login ::1 na data às 12/01/16 02:21:14
Erro ao logar com o login ::1 na data às 12/01/16 02:27:36
Erro ao logar com o login ::1 na data às 12/01/16 05:28:21
Erro ao logar com o login 127.0.0.1 na data às 12/01/16 06:07:01
Erro ao logar com o login ::1 na data às 12/01/16 11:16:52
Erro ao logar com o login ::1 na data às 12/01/16 11:17:37
Erro ao logar com o login ::1 na data às 13/01/16 12:24:31
Erro ao logar com o login ::1 na data às 13/01/16 11:58:12
Erro ao logar com o login ::1 na data às 13/01/16 12:09:27
Erro ao logar com o login ::1 na data às 14/01/16 02:51:55
Erro ao logar com o login ::1 na data às 15/01/16 12:41:14
Erro ao logar com o login ::1 na data às 15/01/16 02:11:58
Erro ao logar com o login ::1 na data às 16/01/16 04:59:29
